time,currency,impact,event,detail,actual,forecast,previous,date,day
17:30,USD,orange,FOMC Member Barkin Speaks,https://www.forexfactory.com/calendar?month=February#detail=139972,,,,07/02/2024,Wed
13:30,USD,orange,FOMC Member Barkin Speaks,https://www.forexfactory.com/calendar?month=February#detail=139983,,,,08/02/2024,Thu
17:05,USD,orange,FOMC Member Barkin Speaks,https://www.forexfactory.com/calendar?month=February#detail=139974,,,,08/02/2024,Thu
17:00,USD,orange,FOMC Member Barkin Speaks,https://www.forexfactory.com/calendar?month=February#detail=140005,,,,12/02/2024,Mon
14:10,USD,orange,FOMC Member Barkin Speaks,https://www.forexfactory.com/calendar?month=February#detail=140030,,,,21/02/2024,Wed
