time,currency,impact,event,detail,actual-Impact,actual,forecast,previous,date,day
13:30,USD,red,Unemployment Claims,https://www.forexfactory.com/calendar?month=June#detail=141452,,247K,236K,239K,05/06/2025,Thu
13:30,USD,red,Unemployment Claims,https://www.forexfactory.com/calendar?month=June#detail=141453,,248K,242K,248K,12/06/2025,Thu
13:30,USD,red,Unemployment Claims,https://www.forexfactory.com/calendar?month=June#detail=141454,,245K,246K,250K,18/06/2025,Wed
13:30,USD,red,Unemployment Claims,https://www.forexfactory.com/calendar?month=June#detail=141455,,236K,244K,246K,26/06/2025,Thu
