time,currency,impact,event,detail,actual-Color,actual,forecast,previous,date,day
13:30,USD,red,Unemployment Claims,https://www.forexfactory.com/calendar?month=March#detail=141439,green,221K,234K,242K,06/03/2025,Thu
12:30,USD,red,Unemployment Claims,https://www.forexfactory.com/calendar?month=March#detail=141440,green,220K,226K,222K,13/03/2025,Thu
12:30,USD,red,Unemployment Claims,https://www.forexfactory.com/calendar?month=March#detail=141441,gray,223K,224K,221K,20/03/2025,Thu
12:30,USD,red,Unemployment Claims,https://www.forexfactory.com/calendar?month=March#detail=141442,gray,224K,225K,225K,27/03/2025,Thu
