time,currency,impact,event,detail,actual,forecast,previous,date,day
13:30,USD,red,Unemployment Claims,https://www.forexfactory.com/calendar?month=December#detail=141478,191K,219K,218K,04/12/2025,Thu
13:30,USD,red,Unemployment Claims,https://www.forexfactory.com/calendar?month=December#detail=141479,236K,220K,192K,11/12/2025,Thu
13:30,USD,red,Unemployment Claims,https://www.forexfactory.com/calendar?month=December#detail=141480,224K,224K,237K,18/12/2025,Thu
13:30,USD,red,Unemployment Claims,https://www.forexfactory.com/calendar?month=December#detail=141481,214K,224K,224K,24/12/2025,Wed
13:30,USD,red,Unemployment Claims,https://www.forexfactory.com/calendar?month=December#detail=141482,199K,219K,215K,31/12/2025,Wed
