time,currency,impact,event,detail,actual-Color,actual,forecast,previous,date,day
15:30,USD,yellow,Natural Gas Storage,https://www.forexfactory.com/calendar?month=February#detail=135924,red,-197B,-202B,-326B,01/02/2024,Thu
15:30,USD,yellow,Natural Gas Storage,https://www.forexfactory.com/calendar?month=February#detail=135925,gray,-75B,-73B,-197B,08/02/2024,Thu
15:30,USD,yellow,Natural Gas Storage,https://www.forexfactory.com/calendar?month=February#detail=135926,red,-49B,-67B,-75B,15/02/2024,Thu
15:30,USD,yellow,Natural Gas Storage,https://www.forexfactory.com/calendar?month=February#detail=135927,gray,-60B,-59B,-49B,22/02/2024,Thu
15:30,USD,yellow,Natural Gas Storage,https://www.forexfactory.com/calendar?month=February#detail=135928,green,-96B,-86B,-60B,29/02/2024,Thu
