time,currency,impact,event,detail,actual-Color,actual,forecast,previous,date,day
15:30,USD,yellow,Natural Gas Storage,https://www.forexfactory.com/calendar?month=August#detail=135950,green,18B,30B,22B,01/08/2024,Thu
15:30,USD,yellow,Natural Gas Storage,https://www.forexfactory.com/calendar?month=August#detail=135951,gray,21B,22B,18B,08/08/2024,Thu
15:30,USD,yellow,Natural Gas Storage,https://www.forexfactory.com/calendar?month=August#detail=135952,green,-6B,3B,21B,15/08/2024,Thu
15:30,USD,yellow,Natural Gas Storage,https://www.forexfactory.com/calendar?month=August#detail=135953,red,35B,26B,-6B,22/08/2024,Thu
15:30,USD,yellow,Natural Gas Storage,https://www.forexfactory.com/calendar?month=August#detail=135954,gray,35B,33B,35B,29/08/2024,Thu
