time,currency,impact,event,detail,actual-Color,actual,forecast,previous,date,day
15:30,USD,yellow,Natural Gas Storage,https://www.forexfactory.com/calendar?month=October#detail=135959,green,55B,59B,47B,03/10/2024,Thu
15:30,USD,yellow,Natural Gas Storage,https://www.forexfactory.com/calendar?month=October#detail=135960,red,82B,73B,55B,10/10/2024,Thu
15:30,USD,yellow,Natural Gas Storage,https://www.forexfactory.com/calendar?month=October#detail=135961,green,76B,80B,82B,17/10/2024,Thu
15:30,USD,yellow,Natural Gas Storage,https://www.forexfactory.com/calendar?month=October#detail=135962,red,80B,61B,76B,24/10/2024,Thu
14:30,USD,yellow,Natural Gas Storage,https://www.forexfactory.com/calendar?month=October#detail=135963,gray,78B,79B,80B,31/10/2024,Thu
