time,currency,impact,event,detail,actual-Color,actual,forecast,previous,date,day
13:30,USD,red,Unemployment Claims,https://www.forexfactory.com/calendar?month=January#detail=136523,green,202K,217K,220K,04/01/2024,Thu
13:30,USD,red,Unemployment Claims,https://www.forexfactory.com/calendar?month=January#detail=136524,green,202K,209K,203K,11/01/2024,Thu
13:30,USD,red,Unemployment Claims,https://www.forexfactory.com/calendar?month=January#detail=136525,green,187K,206K,203K,18/01/2024,Thu
13:30,USD,red,Unemployment Claims,https://www.forexfactory.com/calendar?month=January#detail=136526,red,214K,199K,189K,25/01/2024,Thu
