time,currency,impact,event,detail,actual-Color,actual,forecast,previous,date,day
13:30,USD,red,Unemployment Claims,https://www.forexfactory.com/calendar?month=August#detail=136553,red,249K,236K,235K,01/08/2024,Thu
13:30,USD,red,Unemployment Claims,https://www.forexfactory.com/calendar?month=August#detail=136554,green,233K,241K,250K,08/08/2024,Thu
13:30,USD,red,Unemployment Claims,https://www.forexfactory.com/calendar?month=August#detail=136555,green,227K,236K,234K,15/08/2024,Thu
13:30,USD,red,Unemployment Claims,https://www.forexfactory.com/calendar?month=August#detail=136556,gray,232K,232K,228K,22/08/2024,Thu
13:30,USD,red,Unemployment Claims,https://www.forexfactory.com/calendar?month=August#detail=136557,gray,231K,232K,233K,29/08/2024,Thu
