time,currency,impact,event,detail,actual,forecast,previous,date,day
11:45,USD,yellow,FOMC Member Kugler Speaks,https://www.forexfactory.com/calendar?month=May#detail=145987,,,,09/05/2025,Fri
15:25,USD,yellow,FOMC Member Kugler Speaks,https://www.forexfactory.com/calendar?month=May#detail=146016,,,,12/05/2025,Mon
22:00,USD,yellow,FOMC Member Kugler Speaks,https://www.forexfactory.com/calendar?month=May#detail=146065,,,,20/05/2025,Tue
19:00,USD,yellow,FOMC Member Kugler Speaks,https://www.forexfactory.com/calendar?month=May#detail=146092,,,,29/05/2025,Thu
