time,currency,impact,event,detail,actual-Impact,actual,forecast,previous,date,day
17:45,USD,yellow,FOMC Member Goolsbee Speaks,https://www.forexfactory.com/calendar?month=June#detail=146106,neutral,,,,02/06/2025,Mon
17:45,USD,yellow,FOMC Member Goolsbee Speaks,https://www.forexfactory.com/calendar?month=June#detail=146107,neutral,,,,03/06/2025,Tue
18:10,USD,yellow,FOMC Member Goolsbee Speaks,https://www.forexfactory.com/calendar?month=June#detail=146148,neutral,,,,23/06/2025,Mon
13:30,USD,yellow,FOMC Member Goolsbee Speaks,https://www.forexfactory.com/calendar?month=June#detail=146186,neutral,,,,26/06/2025,Thu
18:00,USD,yellow,FOMC Member Goolsbee Speaks,https://www.forexfactory.com/calendar?month=June#detail=146176,neutral,,,,30/06/2025,Mon
