time,currency,impact,event,detail,actual,forecast,previous,date,day
21:30,USD,yellow,API Weekly Statistical Bulletin,https://www.forexfactory.com/calendar?month=August#detail=138020,,,,06/08/2024,Tue
21:30,USD,yellow,API Weekly Statistical Bulletin,https://www.forexfactory.com/calendar?month=August#detail=138021,,,,13/08/2024,Tue
21:30,USD,yellow,API Weekly Statistical Bulletin,https://www.forexfactory.com/calendar?month=August#detail=138022,,,,20/08/2024,Tue
21:30,USD,yellow,API Weekly Statistical Bulletin,https://www.forexfactory.com/calendar?month=August#detail=138023,,,,27/08/2024,Tue
