time,currency,impact,event,detail,actual-Color,actual,forecast,previous,date,day
15:30,USD,orange,Crude Oil Inventories,https://www.forexfactory.com/calendar?month=November#detail=137608,red,2.1M,0.3M,-0.5M,06/11/2024,Wed
16:00,USD,orange,Crude Oil Inventories,https://www.forexfactory.com/calendar?month=November#detail=137609,red,2.1M,0.4M,2.1M,14/11/2024,Thu
15:30,USD,orange,Crude Oil Inventories,https://www.forexfactory.com/calendar?month=November#detail=137610,red,0.5M,-0.1M,2.1M,20/11/2024,Wed
15:30,USD,orange,Crude Oil Inventories,https://www.forexfactory.com/calendar?month=November#detail=137612,green,-1.8M,-1.3M,0.5M,27/11/2024,Wed
