time,currency,impact,event,detail,actual,forecast,previous,date,day
15:30,USD,yellow,Crude Oil Inventories,https://www.forexfactory.com/calendar?month=March#detail=137572,1.4M,2.4M,4.2M,06/03/2024,Wed
14:30,USD,yellow,Crude Oil Inventories,https://www.forexfactory.com/calendar?month=March#detail=137573,-1.5M,0.9M,1.4M,13/03/2024,Wed
14:30,USD,yellow,Crude Oil Inventories,https://www.forexfactory.com/calendar?month=March#detail=137574,-2.0M,-0.9M,-1.5M,20/03/2024,Wed
14:30,USD,yellow,Crude Oil Inventories,https://www.forexfactory.com/calendar?month=March#detail=137575,3.2M,-0.7M,-2.0M,27/03/2024,Wed
