time,currency,impact,event,detail,actual,forecast,previous,date,day
15:15,USD,orange,FOMC Member Waller Speaks,https://www.forexfactory.com/calendar?month=May#detail=140246,,,,17/05/2024,Fri
14:00,USD,orange,FOMC Member Waller Speaks,https://www.forexfactory.com/calendar?month=May#detail=140275,,,,20/05/2024,Mon
14:00,USD,orange,FOMC Member Waller Speaks,https://www.forexfactory.com/calendar?month=May#detail=140259,,,,21/05/2024,Tue
14:35,USD,orange,FOMC Member Waller Speaks,https://www.forexfactory.com/calendar?month=May#detail=140274,,,,24/05/2024,Fri
